|source|db_id|table_names_original|table_names|column_names_original|column_names|column_types|foreign_keys|primary_keys|info_lst
0|해양경찰청|publicdata_climate_3041|['C_STS_KCG_EQ_REPAIR_CO']|['해양경찰청 장비수리업체 현황']|[[-1, '*'], [0, 'CORPORATE_NMC'], [0, 'INDUSTRYD'], [0, 'ADDRESSE']]|[[-1, '*'], [0, '회사명'], [0, '업종'], [0, '주소']]|['text', 'text', 'text', 'text']|[]|[]|[['CORPORATE_NMC', '회사명', 'text'], ['INDUSTRYD', '업종', 'text'], ['ADDRESSE', '주소', 'text']]
1|행정안전부|publicdata_climate_2314|['STS_STEEP_SLOPE_MOIS']|['행정안전부 급경사지 현황']|[[-1, '*'], [0, 'MANAGEMENT_NUMV'], [0, 'STEEP_SLOPE_DESIGNATIONW'], [0, 'NM_ENFORCEMENT_AGENCYX'], [0, 'MANAGEMENT_SJ_CLASY'], [0, 'CITY_PROVINCEZ'], [0, 'C_C_C_D_Y'], [0, 'DETAILED_ADDRESSB'], [0, 'ROAD_LISTING_ADDRESSC'], [0, 'MOUNTAIN_ADDRESS_STAD'], [0, 'MAIN_STREET_NUME'], [0, 'SITE_NUMF']]|[[-1, '*'], [0, '관리번호'], [0, '급경사지명'], [0, '시행청명'], [0, '관리주체구분'], [0, '시도'], [0, '시군구'], [0, '상세주소'], [0, '도로명상세주소'], [0, '산주소여부'], [0, '주지번'], [0, '부지번']]|['text', 'number', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'number', 'number']|[]|[]|[['MANAGEMENT_NUMV', '관리번호', 'number'], ['STEEP_SLOPE_DESIGNATIONW', '급경사지명', 'text'], ['NM_ENFORCEMENT_AGENCYX', '시행청명', 'text'], ['MANAGEMENT_SJ_CLASY', '관리주체구분', 'text'], ['CITY_PROVINCEZ', '시도', 'text'], ['C_C_C_D_Y', '시군구', 'text'], ['DETAILED_ADDRESSB', '상세주소', 'text'], ['ROAD_LISTING_ADDRESSC', '도로명상세주소', 'text'], ['MOUNTAIN_ADDRESS_STAD', '산주소여부', 'text'], ['MAIN_STREET_NUME', '주지번', 'number'], ['SITE_NUMF', '부지번', 'number']]
2|환경부|publicdata_climate_5710|['ME_ENV_STS_SYS_ENV_STS_T_INFO']|['환경부 환경부 환경통계정보시스템 환경통계표 정보']|[[-1, '*'], [0, 'STATISTICS_ITEM_IDR'], [0, 'STATISTICAL_ITEM_NMS'], [0, 'STATISTICS_TABLE_IDT'], [0, 'S_R_VA'], [0, 'FIRST_RE_DTV']]|[[-1, '*'], [0, '통계항목 아이디'], [0, '통계항목명'], [0, '통계표 아이디'], [0, '통계표명'], [0, '최초 등록일']]|['text', 'text', 'text', 'text', 'text', 'text']|[]|[]|[['STATISTICS_ITEM_IDR', '통계항목 아이디', 'text'], ['STATISTICAL_ITEM_NMS', '통계항목명', 'text'], ['STATISTICS_TABLE_IDT', '통계표 아이디', 'text'], ['S_R_VA', '통계표명', 'text'], ['FIRST_RE_DTV', '최초 등록일', 'text']]
3|문화체육관광부 한국정책방송원|publicdata_culture_895|['MCSTKTV_POLICY_P_PROGRAM']|['문화체육관광부 한국정책방송원 KTV 정책공공 프로그램']|[[-1, '*'], [0, 'CONTENT_ID'], [0, 'TITLE'], [0, 'PROGRAM_ID'], [0, 'PROGRAM_NAME'], [0, 'CATEGORY_ID'], [0, 'CATEGORY_NAME'], [0, 'FULL_IMAGE_STATUS'], [0, 'THUMBNAIL_ADDRESS'], [0, 'LINK_ADDRESS'], [0, 'POP_UP_LINK_ADDRESS'], [0, 'NUMBER_VIEWS'], [0, 'PROGRAM_ROTATION'], [0, 'BROADCAST_DATE'], [0, 'BROADCAST_TIME_HOUR'], [0, 'BROADCAST_TIME_MINUTES'], [0, 'REGISTRATION_DATE']]|[[-1, '*'], [0, '콘텐츠아이디'], [0, '제목'], [0, '프로그램아이디'], [0, '프로그램명'], [0, '카테고리아이디'], [0, '카테고리명'], [0, '전체영상여부'], [0, '섬네일주소'], [0, '링크주소'], [0, '팝업링크주소'], [0, '조회수'], [0, '프로그램회차'], [0, '방송일'], [0, '방송시간 시'], [0, '방송시간 분'], [0, '등록일']]|['text', 'number', 'text', 'text', 'text', 'number', 'text', 'text', 'text', 'text', 'text', 'number', 'number', 'time', 'number', 'number', 'time']|[]|[]|[['CONTENT_ID', '콘텐츠아이디', 'number'], ['TITLE', '제목', 'text'], ['PROGRAM_ID', '프로그램아이디', 'text'], ['PROGRAM_NAME', '프로그램명', 'text'], ['CATEGORY_ID', '카테고리아이디', 'number'], ['CATEGORY_NAME', '카테고리명', 'text'], ['FULL_IMAGE_STATUS', '전체영상여부', 'text'], ['THUMBNAIL_ADDRESS', '섬네일주소', 'text'], ['LINK_ADDRESS', '링크주소', 'text'], ['POP_UP_LINK_ADDRESS', '팝업링크주소', 'text'], ['NUMBER_VIEWS', '조회수', 'number'], ['PROGRAM_ROTATION', '프로그램회차', 'number'], ['BROADCAST_DATE', '방송일', 'time'], ['BROADCAST_TIME_HOUR', '방송시간 시', 'number'], ['BROADCAST_TIME_MINUTES', '방송시간 분', 'number'], ['REGISTRATION_DATE', '등록일', 'time']]
4|행정안전부 국가기록원|publicdata_culture_5963|['REVISITING_MOIS_N_ARCHIVES_2002_FIFA_WORLD_CUP_CONTENT_DB']|['행정안전부 국가기록원 다시보는 2002년 FIFA 월드컵 콘텐츠 DB']|[[-1, '*'], [0, 'SORTATIONS'], [0, 'RECORDED_OBJECT_NMT'], [0, 'PRODUCTION_YEARU'], [0, 'PRODUCTION_AGENCYV'], [0, 'PATH_VIEW_ORIGINAL_TEXTW']]|[[-1, '*'], [0, '구분'], [0, '기록물명'], [0, '생산 연도'], [0, '생산기관'], [0, '원문 보기 경로']]|['text', 'text', 'text', 'number', 'text', 'text']|[]|[]|[['SORTATIONS', '구분', 'text'], ['RECORDED_OBJECT_NMT', '기록물명', 'text'], ['PRODUCTION_YEARU', '생산 연도', 'number'], ['PRODUCTION_AGENCYV', '생산기관', 'text'], ['PATH_VIEW_ORIGINAL_TEXTW', '원문 보기 경로', 'text']]
5|한국언론진흥재단|publicdata_culture_4832|['KPF_JOURNALISTS_SURVEY_STS_INTRODUCTION_52_HOUR_WORKWEEK']|['한국언론진흥재단 언론인조사통계 주52시간근무제도입현황']|[[-1, '*'], [0, 'SORTATIONM'], [0, 'M_CLASN'], [0, 'NUM_CASESO'], [0, 'E_5_H_W_H_B_W_M_S_L_W_I_E_Z'], [0, 'E_5_H_W_H_C_W_S_ZZ'], [0, 'E_5_H_W_H_R_N_W_VA'], [0, 'E_5_H_W_H_R_F_M_R_CV'], [0, 'E_5_H_W_R_W_DE'], [0, 'E_5_H_W_H_I_I_W_XZ'], [0, 'D_5_H_W_M_W_A_H_D_A'], [0, 'D_5_H_W_L_T_H_I_BB'], [0, 'E_5_H_W_H_I_Q_L_C']]|[[-1, '*'], [0, '구분'], [0, '중분류'], [0, '사례수'], [0, '법 시행 후 주 52시간 근무제가 잘 지켜지고 있다'], [0, '주 52시간 근무제로 인해 근무 체계가 변화되었다'], [0, '주 52시간 근무제로 인해 신규 인력이 보강되었다'], [0, '주 52시간 근무제로 인해 취재원을 만나는 횟수가 줄었다'], [0, '주 52시간 근무제로 인해 업무량이 줄어들었다'], [0, '주 52시간 근무제로 인해 업무강도가 높아졌다'], [0, '주 52시간 근무제로 인해 월 기준 근로수당이 감소하였다'], [0, '주 52시간 근무제로 인해 여가시간이 증가하였다'], [0, '주 52시간 근무제로 인해 삶의 질이 향상되는 데 도움이 됐다']]|['text', 'text', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number']|[]|[]|[['SORTATIONM', '구분', 'text'], ['M_CLASN', '중분류', 'text'], ['NUM_CASESO', '사례수', 'number'], ['E_5_H_W_H_B_W_M_S_L_W_I_E_Z', '법 시행 후 주 52시간 근무제가 잘 지켜지고 있다', 'number'], ['E_5_H_W_H_C_W_S_ZZ', '주 52시간 근무제로 인해 근무 체계가 변화되었다', 'number'], ['E_5_H_W_H_R_N_W_VA', '주 52시간 근무제로 인해 신규 인력이 보강되었다', 'number'], ['E_5_H_W_H_R_F_M_R_CV', '주 52시간 근무제로 인해 취재원을 만나는 횟수가 줄었다', 'number'], ['E_5_H_W_R_W_DE', '주 52시간 근무제로 인해 업무량이 줄어들었다', 'number'], ['E_5_H_W_H_I_I_W_XZ', '주 52시간 근무제로 인해 업무강도가 높아졌다', 'number'], ['D_5_H_W_M_W_A_H_D_A', '주 52시간 근무제로 인해 월 기준 근로수당이 감소하였다', 'number'], ['D_5_H_W_L_T_H_I_BB', '주 52시간 근무제로 인해 여가시간이 증가하였다', 'number'], ['E_5_H_W_H_I_Q_L_C', '주 52시간 근무제로 인해 삶의 질이 향상되는 데 도움이 됐다', 'number']]
6|경상남도 김해시|publicdata_culture_12574|['C_STS_GNGH_CHILDREN_PLAY_FAC', 'C_STS_GNGH_OUTDOOR_SPORTS_EQ']|['경상남도 김해시 어린이 놀이시설 현황', '경상남도 김해시 야외운동기구 현황']|[[-1, '*'], [0, 'SERIAL_NUMB'], [0, 'FACILITY_NUMC'], [0, 'FACILITY_NMD'], [0, 'INS_DTE'], [0, 'ACQUISITION_DTF'], [0, 'PLACE_INSG'], [0, 'OPERATION_CLASH'], [0, 'MIN_GONG_BUNI'], [0, 'OBLIGATION_STAJ'], [0, 'INDOOR_OUTDOORK'], [0, 'INSPECTION_STAL'], [0, 'ROAD_NM_ADDRESSM'], [0, 'LAND_NUM_ADDRESSN'], [1, 'FACILITY_NMT'], [1, 'ADDRESSU'], [1, 'INSTRUMENT_QUANTITYV'], [1, 'INSTRUMENT_STAW'], [1, 'DEPARTMENT_CHARGEX']]|[[-1, '*'], [0, '연번'], [0, '시설번호'], [0, '시설명'], [0, '설치일자'], [0, '인수일자'], [0, '설치장소'], [0, '운영구분'], [0, '민공구분'], [0, '의무여부'], [0, '실내외'], [0, '검사여부'], [0, '도로명주소'], [0, '지번주소'], [1, '시설명'], [1, '주소'], [1, '기구수량'], [1, '기구현황'], [1, '담당부서']]|['text', 'number', 'number', 'text', 'time', 'time', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'number', 'text', 'text']|[[14, 3]]|[]|[['SERIAL_NUMB', '연번', 'number'], ['FACILITY_NUMC', '시설번호', 'number'], ['FACILITY_NMD', '시설명', 'text'], ['INS_DTE', '설치일자', 'time'], ['ACQUISITION_DTF', '인수일자', 'time'], ['PLACE_INSG', '설치장소', 'text'], ['OPERATION_CLASH', '운영구분', 'text'], ['MIN_GONG_BUNI', '민공구분', 'text'], ['OBLIGATION_STAJ', '의무여부', 'text'], ['INDOOR_OUTDOORK', '실내외', 'text'], ['INSPECTION_STAL', '검사여부', 'text'], ['ROAD_NM_ADDRESSM', '도로명주소', 'text'], ['LAND_NUM_ADDRESSN', '지번주소', 'text'], ['FACILITY_NMT', '시설명', 'text'], ['ADDRESSU', '주소', 'text'], ['INSTRUMENT_QUANTITYV', '기구수량', 'number'], ['INSTRUMENT_STAW', '기구현황', 'text'], ['DEPARTMENT_CHARGEX', '담당부서', 'text']]
7|경상북도교육청 경상북도예천교육지원청|publicdata_education_5093|['GBE_GB_YECHEON_O_EDU_C_STS_HAGWON']|['경상북도교육청 경상북도예천교육지원청 학원 교습소 현황']|[[-1, '*'], [0, 'SORTATIONE'], [0, 'NUMF'], [0, 'NM_ACADEMYG'], [0, 'ADDRESSH'], [0, 'PHONE_NUMI']]|[[-1, '*'], [0, '구분'], [0, '순번'], [0, '학원명'], [0, '주소'], [0, '전화번호']]|['text', 'text', 'number', 'text', 'text', 'text']|[]|[]|[['SORTATIONE', '구분', 'text'], ['NUMF', '순번', 'number'], ['NM_ACADEMYG', '학원명', 'text'], ['ADDRESSH', '주소', 'text'], ['PHONE_NUMI', '전화번호', 'text']]
8|충청남도 보령시|publicdata_education_390|['APP_LIBRARY_CLUBS_BORYEONG_CHUNGNAM']|['충청남도 보령시 도서관동아리방신청정보']|[[-1, '*'], [0, 'APPLICATION_DATE'], [0, 'APPLICATION_TIME'], [0, 'MEETING_NAME'], [0, 'PURPOSE_OF_USE'], [0, 'DATA_STANDARD_DATE']]|[[-1, '*'], [0, '신청일'], [0, '신청시간'], [0, '모임명'], [0, '사용목적'], [0, '데이터기준일자']]|['text', 'time', 'text', 'text', 'text', 'time']|[]|[]|[['APPLICATION_DATE', '신청일', 'time'], ['APPLICATION_TIME', '신청시간', 'text'], ['MEETING_NAME', '모임명', 'text'], ['PURPOSE_OF_USE', '사용목적', 'text'], ['DATA_STANDARD_DATE', '데이터기준일자', 'time']]
9|한국산업인력공단|publicdata_education_5088|['HRDK_HRD4U_CONTENT_STS']|['한국산업인력공단 HRD4U 콘텐츠 현황']|[[-1, '*'], [0, 'CONTENT_TYPEW'], [0, 'CONTENT_FIELDX'], [0, 'CONTENT_NMY'], [0, 'NEXT_NMZ'], [0, 'PRODUCTION_DTA'], [0, 'SOURCESB']]|[[-1, '*'], [0, '콘텐츠 유형'], [0, '콘텐츠 분야'], [0, '콘텐츠명'], [0, '차시명'], [0, '제작일'], [0, '출처']]|['text', 'text', 'text', 'text', 'text', 'text', 'text']|[]|[]|[['CONTENT_TYPEW', '콘텐츠 유형', 'text'], ['CONTENT_FIELDX', '콘텐츠 분야', 'text'], ['CONTENT_NMY', '콘텐츠명', 'text'], ['NEXT_NMZ', '차시명', 'text'], ['PRODUCTION_DTA', '제작일', 'text'], ['SOURCESB', '출처', 'text']]
